Date,Athlete,Club,Bow Type,Age Class,Gender,Distance,Face,Result,Competition
2025-07-20,Lisete Lepik,VVVK,Recurve,Adult,Women,70m,122cm,229,Eesti Meistrivõistlused OR 2025
2025-07-20,Ingrid Annelore Ritval,VVVK,Recurve,Adult,Women,70m,122cm,227,Eesti Meistrivõistlused OR 2025
2025-07-20,Ardo Ojamets,PVM,Recurve,Adult,Men,70m,122cm,225,Eesti Meistrivõistlused OR 2025
2025-07-20,Andrey Gerassimov,SAG,Recurve,+50,Men,60m,122cm,221,Eesti Meistrivõistlused OR 2025
2025-07-20,Tessa Cathlen Tammik,JVI,Recurve,Adult,Women,70m,122cm,220,Eesti Meistrivõistlused OR 2025
2025-07-20,Kersti Baumann,SVK,Barebow,Adult,Women,50m,122cm,217,Eesti Meistrivõistlused OR 2025
2025-07-20,Ardo Ojamets,PVM,Recurve,Adult,Men,70m,122cm,216,Eesti Meistrivõistlused OR 2025
2025-07-20,Terje Paomets,KSK,Barebow,Adult,Women,50m,122cm,216,Eesti Meistrivõistlused OR 2025
2025-07-20,Kalju Baumann,SVK,Barebow,Adult,Men,50m,122cm,215,Eesti Meistrivõistlused OR 2025
2025-07-20,Kain Ilves,VVVK,Barebow,Adult,Men,50m,122cm,212,Eesti Meistrivõistlused OR 2025
2025-07-20,Kaja Loot,SVK,Longbow,+50,Women,30m,80cm,212,Eesti Meistrivõistlused OR 2025
2025-07-20,Raoul Johanson,PVM,Recurve,+60,Men,60m,122cm,209,Eesti Meistrivõistlused OR 2025
2025-07-20,Eva-Maria Vinkel,TLVK,Recurve,Adult,Women,70m,122cm,207,Eesti Meistrivõistlused OR 2025
2025-07-20,Kalju Baumann,SVK,Barebow,Adult,Men,50m,122cm,207,Eesti Meistrivõistlused OR 2025
2025-07-20,Kersti Baumann,SVK,Barebow,Adult,Women,50m,122cm,192,Eesti Meistrivõistlused OR 2025
2025-07-20,Maret Tamme,SAG,Recurve,Adult,Women,70m,122cm,183,Eesti Meistrivõistlused OR 2025
2025-07-20,Maret Tamme,SAG,Recurve,Adult,Women,70m,122cm,179,Eesti Meistrivõistlused OR 2025
2025-07-20,Terje Paomets,KSK,Barebow,Adult,Women,50m,122cm,178,Eesti Meistrivõistlused OR 2025
2025-07-20,Kain Ilves,VVVK,Barebow,Adult,Men,50m,122cm,167,Eesti Meistrivõistlused OR 2025
2025-07-20,Liis Kirsch,PVM,Recurve,Adult,Women,70m,122cm,159,Eesti Meistrivõistlused OR 2025
2025-07-20,Triinu Rõigas,VVVK,Recurve,Adult,Women,70m,122cm,149,Eesti Meistrivõistlused OR 2025
2025-07-20,Liis Kirsch,PVM,Recurve,Adult,Women,70m,122cm,144,Eesti Meistrivõistlused OR 2025
2025-07-20,Triinu Rõigas,VVVK,Recurve,Adult,Women,70m,122cm,140,Eesti Meistrivõistlused OR 2025
