Date,Athlete,Club,Bow Type,Age Class,Gender,Distance,Face,Result,Competition
2025-09-06,Ingrid Ritval,VVVK,Recurve,Adult,Women,60m,122cm,302,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Marielle Laasma,PVM,Recurve,Adult,Women,60m,122cm,302,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Eve Kivilo,JVI,Recurve,+60,Women,50m,80cm,301,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Andres Sarapuu,VVVK,Recurve,Adult,Men,30m,80cm,300,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Taavo Allik,VVVK,Recurve,Adult,Men,50m,80cm,299,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Mait Sirel,PVM,Compound,Adult,Men,90m,80cm,298,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Priit Tanvel,TLVK,Recurve,Adult,Men,50m,80cm,297,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Paul Villemi,SAG,Barebow,Adult,Men,30m,122cm,296,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Tarmo Kanamäe,SAG,Compound,+50,Men,60m,80cm,295,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Hannes Kraav,TL,Recurve,Adult,Men,70m,122cm,291,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Eve Kivilo,JVI,Recurve,+60,Women,40m,80cm,290,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Marju-Ly Kaarjärv,VVK,Longbow,+70,Women,40m+30m,80cm,290,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Tiit Heinsalu,SJK,Recurve,+60,Men,30m,80cm,289,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Eva-Maria Vinkel,TLVK,Recurve,Adult,Women,30m,80cm,287,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Eve Kivilo,JVI,Recurve,+60,Women,60m,122cm,287,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Enn Salu,VVK,Longbow,+60,Men,50m+30m,80cm,287,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Martin Rist,VVVK,Recurve,Adult,Men,90m,122cm,285,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Marten Mäger,PVM,Recurve,Adult,Men,30m,80cm,284,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Indrek Hiie,SAG,Recurve,+50,Men,60m,122cm,284,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Marielle Laasma,PVM,Recurve,Adult,Women,50m,80cm,283,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Jaan Rösler,VVVK,Barebow,Adult,Men,30m,122cm,283,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Inge Sirkel-Suviste,KSK,Barebow,Adult,Women,60m,122cm,283,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Mikk Mihkelson,JVI,Recurve,Adult,Men,50m,80cm,282,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Ander Sepp,TVSK,Recurve,Adult,Men,50m,80cm,282,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Tarmo Kanamäe,SAG,Compound,+50,Men,50m,80cm,282,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Tanel Kaasik,TLVK,Recurve,+50,Men,50m,80cm,281,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Tarmo Kanamäe,SAG,Compound,+50,Men,70m,80cm,281,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Birgit Metsjõe,VVVK,Recurve,Adult,Women,50m,80cm,280,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Aare Lauren,LVL,Barebow,Adult,Men,30m,122cm,280,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Inge Sirkel-Suviste,KSK,Barebow,Adult,Women,30m,122cm,280,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Inge Sirkel-Suviste,KSK,Barebow,Adult,Women,40m,122cm,279,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Kait Soesoo,VVVK,Recurve,Adult,Men,50m,80cm,278,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Ingrid Annelore Ritval,VVVK,Recurve,Adult,Women,70m,122cm,278,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Ingrid Ritval,VVVK,Recurve,Adult,Women,50m,80cm,277,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Argo Sepp,TVSK,Barebow,Adult,Men,30m,122cm,277,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Inge Sirkel-Suviste,KSK,Barebow,Adult,Women,50m,122cm,275,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Pilleriin Järve,KSK,Longbow,+50,Women,60m+50m,122cm,275,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Kait Soesoo,VVVK,Recurve,Adult,Men,70m,122cm,274,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Tarvet Labi,VVVK,Recurve,Adult,Men,50m,80cm,274,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Priit Pramann,VVVK,Recurve,+50,Men,30m,80cm,273,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Vaido Valli,SAG,Barebow,Adult,Men,30m,122cm,273,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Priit Tanvel,TLVK,Recurve,Adult,Men,90m,122cm,272,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Hannes Kraav,TL,Recurve,Adult,Men,50m,80cm,272,Eesti Meistrivõistlused 2025 harjutuses 1440
