Date,Athlete,Club,Bow Type,Age Class,Gender,Distance,Face,Result,Competition
2025-08-16,Stella Õismaa,VVVK,Recurve,U15,Women,30m,80cm,280,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Eimar Kukk,PVM,Recurve,Adult,Men,70m,122cm,279,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Tarvet Labi,VVVK,Recurve,U21,Men,70m,122cm,279,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Ingrid Ritval,VVVK,Recurve,U18,Women,60m,122cm,279,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Karoli Luige,NS,Recurve,Adult,Women,70m,122cm,278,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Tarvet Labi,VVVK,Recurve,U21,Men,70m,122cm,278,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Mikk Mihkelson,JVI,Recurve,U18,Men,60m,122cm,278,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Egert Pähkel,PVM,Recurve,U18,Men,60m,122cm,278,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Eimar Kukk,PVM,Recurve,Adult,Men,70m,122cm,276,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Eimar Kukk,PVM,Recurve,Adult,Men,70m,122cm,275,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Marielle Laasma,PVM,Recurve,Adult,Women,70m,122cm,274,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Märt Labi,VVVK,Recurve,U18,Men,60m,122cm,274,XV Aksel Randmeri Memoriaal 2025
